bid_nodes,eps,idx,iters,loser,proc_nodes,reachable,rows,rows_bid,rows_proc,s0,s1,seconds,states0,states1,terminal,types0,types1,value
7,0.003011051030242579,47,800,1,14,True,122,47,75,"(1,0,1)","(2,1,1)",0.584,5,8,False,5,4,1.025726053583341e-06
7,0.0005263157894738191,48,75,1,14,True,86,31,55,"(1,0,1)","(2,2,0)",0.054,5,4,False,5,4,0.9995614035087719
7,0.0008335215734058578,49,225,1,14,True,194,79,115,"(1,1,0)","(2,0,0)",0.183,5,16,False,5,12,0.006387736534037679
7,0.0009742882596167472,50,350,1,14,True,158,63,95,"(1,1,0)","(2,0,1)",0.27,5,12,False,5,8,0.0006695805267338747
7,0.000526315789473708,51,75,1,14,True,86,31,55,"(1,1,0)","(2,0,2)",0.054,5,4,False,5,4,0.9995614035087718
7,0.00098147896889898,52,475,1,14,True,158,63,95,"(1,1,0)","(2,1,0)",0.37,5,12,False,5,8,0.0006024437026223319
7,0.0030110510302411224,53,800,1,14,True,122,47,75,"(1,1,0)","(2,1,1)",0.589,5,8,False,5,4,1.0257260535899184e-06
7,0.000526315789473597,54,75,1,14,True,86,31,55,"(1,1,0)","(2,2,0)",0.055,5,4,False,5,4,0.9996491228070176
,,55,,1,,False,0,,,"(2,0,0)","(1,0,0)",,,,True,,,1.0
,,56,,1,,True,0,,,"(2,0,0)","(1,0,1)",,,,True,,,1.0
,,57,,1,,True,0,,,"(2,0,0)","(1,1,0)",,,,True,,,1.0
,,58,,1,,True,0,,,"(2,0,1)","(1,0,0)",,,,True,,,1.0
,,59,,1,,True,0,,,"(2,0,1)","(1,0,1)",,,,True,,,1.0
,,60,,1,,True,0,,,"(2,0,1)","(1,1,0)",,,,True,,,1.0
,,61,,1,,True,0,,,"(2,0,2)","(1,0,0)",,,,True,,,1.0
,,62,,1,,True,0,,,"(2,0,2)","(1,0,1)",,,,True,,,1.0
,,63,,1,,True,0,,,"(2,0,2)","(1,1,0)",,,,True,,,1.0
,,64,,1,,True,0,,,"(2,1,0)","(1,0,0)",,,,True,,,1.0
,,65,,1,,True,0,,,"(2,1,0)","(1,0,1)",,,,True,,,1.0
,,66,,1,,True,0,,,"(2,1,0)","(1,1,0)",,,,True,,,1.0
,,67,,1,,True,0,,,"(2,1,1)","(1,0,0)",,,,True,,,1.0
,,68,,1,,True,0,,,"(2,1,1)","(1,0,1)",,,,True,,,1.0
,,69,,1,,True,0,,,"(2,1,1)","(1,1,0)",,,,True,,,1.0
,,70,,1,,True,0,,,"(2,2,0)","(1,0,0)",,,,True,,,1.0
,,71,,1,,True,0,,,"(2,2,0)","(1,0,1)",,,,True,,,1.0
,,72,,1,,True,0,,,"(2,2,0)","(1,1,0)",,,,True,,,1.0
